name,wikiLink,inCategory,addToThisList,listLink
Marion Lay,https://en.wikipedia.org/wiki/Marion_Lay,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Kaili Lukan,https://en.wikipedia.org/wiki/Kaili_Lukan,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Zoe MacKinnon,https://en.wikipedia.org/wiki/Zoe_MacKinnon,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Brian Marshall (athlete),https://en.wikipedia.org/wiki/Brian_Marshall_(athlete),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Robert McCall (figure skater),https://en.wikipedia.org/wiki/Robert_McCall_(figure_skater),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Brock McGillis,https://en.wikipedia.org/wiki/Brock_McGillis,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Shannon Miller (ice hockey),https://en.wikipedia.org/wiki/Shannon_Miller_(ice_hockey),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Eric Mitchell (skier),https://en.wikipedia.org/wiki/Eric_Mitchell_(skier),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Ness Murby,https://en.wikipedia.org/wiki/Ness_Murby,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Marie-Ève Nault,https://en.wikipedia.org/wiki/Marie-Ève_Nault,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Brit O'Neill,https://en.wikipedia.org/wiki/Brit_O'Neill,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Pat Patterson (wrestler),https://en.wikipedia.org/wiki/Pat_Patterson_(wrestler),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Shaina Pellington,https://en.wikipedia.org/wiki/Shaina_Pellington,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Chelsea Purcell,https://en.wikipedia.org/wiki/Chelsea_Purcell,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Quinn (soccer),https://en.wikipedia.org/wiki/Quinn_(soccer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Colin Ratushniak,https://en.wikipedia.org/wiki/Colin_Ratushniak,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Scarlett (gamer),https://en.wikipedia.org/wiki/Scarlett_(gamer),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Samantha Sendel,https://en.wikipedia.org/wiki/Samantha_Sendel,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Greg Smith (curler),https://en.wikipedia.org/wiki/Greg_Smith_(curler),LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Melissa Tancredi,https://en.wikipedia.org/wiki/Melissa_Tancredi,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
Megan Timpf,https://en.wikipedia.org/wiki/Megan_Timpf,LGBT sportspeople,List of LGBT sportspeople,https://en.wikipedia.org/wiki/List_of_LGBT_sportspeople
