QID,Name,link,sex/gender,sex/gender reference,sexual orientation,sexual orientation reference,pronounsEn,pronouns reference
Q48304866,Kiki Bandy,https://en.wikipedia.org/wiki/Kiki_Bandy,female,,lesbianism,,,
Q167635,"Tyler, the Creator","https://en.wikipedia.org/wiki/Tyler,_the_Creator",male,,bisexuality,,,
Q5523873,Garrett Clayton,https://en.wikipedia.org/wiki/Garrett_Clayton,male,,homosexuality,,,
Q24249975,Víctor Gutiérrez,https://en.wikipedia.org/wiki/Víctor_Gutiérrez,male,,homosexuality,,,
Q25976177,Isadora Cerullo,https://en.wikipedia.org/wiki/Isadora_Cerullo,female,,lesbianism,,,
Q55956269,Ryan Jamaal Swain,https://en.wikipedia.org/wiki/Ryan_Jamaal_Swain,male,,non-heterosexuality,,,
Q63396770,Hig Roberts,https://en.wikipedia.org/wiki/Hig_Roberts,male,,homosexuality,,,
Q102502677,Mina Massimo,https://en.wikipedia.org/wiki/Mina_Massimo,female,,bisexuality,,,
Q2067209,Sabīne Niedola,https://en.wikipedia.org/wiki/Sabīne_Niedola,female,,lesbianism,,,
Q4388897,Javier Raya,https://en.wikipedia.org/wiki/Javier_Raya,male,,homosexuality,,,
Q18637272,Carter Cruise,https://en.wikipedia.org/wiki/Carter_Cruise,female,,non-heterosexuality,,,
Q22003223,Jeffery Austin,https://en.wikipedia.org/wiki/Jeffery_Austin,male,,homosexuality,,,
Q25396976,Anne-Marie,https://en.wikipedia.org/wiki/Anne-Marie,female,,non-heterosexuality,,,
Q67187143,Tindra Frost,https://en.wikipedia.org/wiki/Tindra_Frost,female,,pansexuality,,,
Q76364081,Charlotte Nichols,https://en.wikipedia.org/wiki/Charlotte_Nichols,female,,bisexuality,,,
Q271385,Azealia Banks,https://en.wikipedia.org/wiki/Azealia_Banks,female,,bisexuality,,,
Q600368,Shaun Ross,https://en.wikipedia.org/wiki/Shaun_Ross,male,,homosexuality,,,
Q3806270,Jake Borelli,https://en.wikipedia.org/wiki/Jake_Borelli,male,,homosexuality,,,
Q4965751,Brianne Jenner,https://en.wikipedia.org/wiki/Brianne_Jenner,female,,lesbianism,,,
Q18719441,Joey Graceffa,https://en.wikipedia.org/wiki/Joey_Graceffa,male,,homosexuality,,,
Q98901190,Priyanka,https://en.wikipedia.org/wiki/Priyanka,male,,homosexuality,,,
Q5213711,Daniel Howell,https://en.wikipedia.org/wiki/Daniel_Howell,male,,gay,,,
Q19867355,Rayvon Owen,https://en.wikipedia.org/wiki/Rayvon_Owen,male,,homosexuality,,,
Q22278353,Parson James,https://en.wikipedia.org/wiki/Parson_James,male,,homosexuality,,,
Q47507180,Péter Ungár,https://en.wikipedia.org/wiki/Péter_Ungár,male,,homosexuality,,,
Q59771419,Shoe0nHead,https://en.wikipedia.org/wiki/Shoe0nHead,female,,bisexuality,,,
Q3266021,Lucy Spraggan,https://en.wikipedia.org/wiki/Lucy_Spraggan,female,,homosexuality,,,
Q3916703,Riley Reid,https://en.wikipedia.org/wiki/Riley_Reid,female,,bisexuality,,,
Q14914898,Alexandra Shipp,https://en.wikipedia.org/wiki/Alexandra_Shipp,female,,non-heterosexuality,,,
Q19635627,Joe Thein,https://en.wikipedia.org/wiki/Joe_Thein,male,,homosexuality,,,
Q106678686,Normunds Kindzulis,https://en.wikipedia.org/wiki/Normunds_Kindzulis,male,,homosexuality,,,
Q5562443,Gilly Flaherty,https://en.wikipedia.org/wiki/Gilly_Flaherty,female,,lesbianism,,,
Q26232737,Eduardo Fernández Rubiño,https://en.wikipedia.org/wiki/Eduardo_Fernández_Rubiño,male,,homosexuality,,,
Q56473314,Harmony Reigns,https://en.wikipedia.org/wiki/Harmony_Reigns,female,,bisexuality,,,
Q99485658,Natalia Grey,https://en.wikipedia.org/wiki/Natalia_Grey,female,,bisexuality,,,
Q9282773,Gus Kenworthy,https://en.wikipedia.org/wiki/Gus_Kenworthy,male,,homosexuality,,,
Q16729031,Fly Young Red,https://en.wikipedia.org/wiki/Fly_Young_Red,male,,homosexuality,,,
Q59167711,Molly Ostertag,https://en.wikipedia.org/wiki/Molly_Ostertag,female,,lesbianism,,she/her,
Q4101468,Genevieve Buechner,https://en.wikipedia.org/wiki/Genevieve_Buechner,female,,bisexuality,,,
